air_name,air_hindex,air_research_gate_score,air_link,air_designation,air_education,air_papers,air_citations,air_city,air_expertise,,,,,,,,,,,
Sushmita Mitra,26,,https://scholar.google.com/citations?user=PrUB1fAAAAAJ&hl=en,"Professor, Machine Intelligence Unit, Indian Statistical Institute, Kolkata",,108,4288,Kolkata,"Artificial Intelligence, Image processing, Pattern Recognition, Bioinformatics, Computational Intelligence",,,,,,,,,,,
Surjya K Pal,21,35.29,https://scholar.google.com/citations?user=rj8w-HgAAAAJ&hl=en,"Professor, IIT Kharagpur",,127,1532,Kharagpur,"manufacturing process, welding, artificial neural networks, bond graph, finite element",,,,,,,,,,,
Manik Varma,20,,https://scholar.google.co.in/citations?user=slkxxyIAAAAJ&hl=en,"Principal Researcher, Microsoft Research India, Adjunct Professor of Computer Science, IIT Delhi.",,26,3392,New Delhi,,,,,,,,,,,,
Sivaji Bandyopadhyay,11,,https://scholar.google.com/citations?user=AQ8w2uEAAAAJ&hl=en,"Professor of Computer Science and Engineering, IIT Madras",,143,596,Kolkata,"speech processing, speech synthesis, music processing, neuronal signal processing, , Machine Learning, ",,,,,,,,,,,
Hema A Murthy,18,,https://scholar.google.com/citations?user=9Td4hFMAAAAJ&hl=en,"Professor of Mechanical Engineering, IIT Delhi",,137,1270,Chennai,"Dynamics, Robotics, Multibody Dynamics, Design",,,,,,,,,,,10
Subir Kumar Saha,16,,https://scholar.google.com/citations?user=Hz44YrEAAAAJ&hl=en,Assistant Professor at IIT Hyderabad,,121,905,New Delhi,"Computer architecture, high-performance computing, non-volatile memory, GPU, deep learning, ",,,,,,,,,,1000,100
Sparsh Mittal,13,,https://scholar.google.com/citations?user=nwNIkAUAAAAJ&hl=en,"Assistant Professor, Indraprastha Institute of Information Technology",,53,601,Hyderabad,"Compressed Sensing, Deep Learning, Image Reconstruction, Inverse Problems",,,,,,,,,,,
Angshul Majumdar,17,,https://scholar.google.com/citations?user=mB9AZSAAAAAJ&hl=en,"Associate Professor, IIT Madras",,165,1124,New Delhi,"computer vision, Image Processing",,,,,,,,,,,
Anurag Mittal,19,,https://scholar.google.com/citations?hl=en&user=nGUcGrYAAAAJ&view_op=list_works,"Associate Professor, IIT Madras",,46,1866,Chennai,"Reinforcement Learning, Data Mining, Social Network Analysis, Text Analytics",,,,,,,,,,,
Balaraman Ravindran,15,,https://scholar.google.com/citations?user=SbYoEmQAAAAJ&hl=en,"Professor, Indian Institute of Science",,85,645,Chennai,Machine Learning,,,,,,,,,,,
Chiranjib Bhattacharyya,18,,https://scholar.google.com/citations?hl=en&user=jXTZEw4AAAAJ&view_op=list_works&sortby=pubdate,"Professor, IIT Madras",,90,2672,Bengaluru,Image Processing and Computer Vision,,,,,,,,,,,
A. N. Rajagopalan,20,,https://scholar.google.com/citations?user=QWTcyP8AAAAJ&hl=en,IIT Kanpur,,134,1861,Chennai,"Intelligent Systems and Control, Robotics, Soft Computing",,,,,,,,,,,
Dr. Sriparna Saha,15,,https://scholar.google.com/citations?user=bEZqpLsAAAAJ&hl=en,IIIT Hyderabad,,150,1432,Patna,"Visual Analytics, Data Mining, Multi-agent, Systems, Robotics, Workflows",,,,,,,,,,,
Laxmidhar Behera,20,,https://scholar.google.com/citations?user=3HKjt_IAAAAJ&hl=en,"Professor, IIIT, Hyderabad",,194,1189,Kanpur,"computer vision, Computer GraphicsParallel Computing",,,,,,,,,,,
Kamalakar Karlapalem,17,,https://scholar.google.com/citations?user=1B4UlwUAAAAJ&hl=en,"Professor, IIT Delhi",,114,1167,Hyderabad,"Neuroimaging, Machine Learning, Big Data AnalyticsAlgorithms",,,,,,,,,,,
P J Narayanan,14,,https://scholar.google.com/citations?user=VQZTmpcAAAAJ&hl=en,"Professor, Indian Institute of Science",,94,1736,Hyderabad,"pattern recognitiondata mining, Machine Learning, information retrievaltopic models",,,,,,,,,,,
Rahul Garg,16,,https://scholar.google.co.in/citations?user=EM2k5ZcAAAAJ&hl=en,"CTO, Strand Life Sciences","IIT Delhi, New York University, PhD, Computer Science ",51,1006,New Delhi,,,,,,,,,,,,
Narasimha Murty,1,,https://scholar.google.com/citations?user=V6NJi4kAAAAJ&hl=en,IIT Delhi,,2,15,Bengaluru,"computer vision, Computational IntelligenceMultimedia SystemsRobotics",,,,,,,,,,,
Ramesh Hariharan,10,,https://scholar.google.com/citations?user=yMfQ9NoAAAAJ&hl=en,"Professor, Praxis Business School, Kolkata",,35,354,Bengaluru,"Network Security, Data Privacy, Internet of Things, Machine Learning, Deep Learning",,,,,,,,,,,
Santanu Chaudhury,17,,https://scholar.google.com/citations?user=mUCM_A4AAAAJ&hl=en,"Assistant Professor, IIT Dhanbad, India",,273,1478,New Delhi,"Artificial Intelligence, Rock MechanicsEngineering GeologyNumerical ModelingFinite Element",,,,,,,,,,,
Jaydip Sen,13,,https://scholar.google.com/citations?hl=en&user=9GC_8HcAAAAJ&view_op=list_works&sortby=pubdate,Thapar University · Department of Computer Science and Engineering,,56,875,Kolkata,"DevOPs, Deep Learning, Empirical Software Engineering, Software, Metrics",,,,,,,,,,,
A. K. Verma,3,,https://scholar.google.com/citations?user=V49BsgMAAAAJ&hl=en,IIT Delhi,,19,28,Dhanbad,"Statistical Relational Learning, Machine Learning, ",,,,,,,,,,,
Ashima Singh,1,,https://scholar.google.com/citations?user=Hu2Ht28AAAAJ&hl=en,Amazon Machine Learning,"Xerox Research India, University of Maryland, College Park, Jadavpur University",9,3,Patiala,"Machine Learning, deep learning, computer vision, Human Computer InteractionBio-inspired Optimization",,,,,,,,,,,
