cx	cy	capitalization	earnings	employees	x	y	sector	name	alias	symbol	vintage	description	rating	location
605	-17.25	44	2.75	44	605	-17.25	Transport	Locus.sh	https://locus.sh	Series A	2015	Logistics automation platform with in-built route planning, vehicle allocation and 3D packing technology solutions.	No Ratings Yet	Bengaluru
686	-4	47	16	47	686	-4	Transport	Netradyne	https://www.netradyne.com	Series A	2015	Provides a deep learning-based computer vision solution to improve automotive safety	5	 Bengaluru, San Diego, US
561	-17.6	47	2.4	47	561	-17.6	Chatbots	Niki.ai	http://niki.ai	Series A	2015	A chatbot that lets users search, discover, choose, make payments.	3.5	Bengaluru
671	19.235	2	0	2	671	19.235	Energy	Quenext	http://www.quenext.com/	Other	2015	An AI lab with a focus on energy, agriculture & water management.	No reviews yet	Mumbai
648	-14.2	30	5.8	30	648	-14.2	HealthTech	Sigtuple	http://www.sigtuple.com	Series A	2015	Healthcare diagnostics using machine learning.	5	Bengaluru
562	19.25	20	0	20	562	19.25	E-Commerce / Retail	Staqu	http://www.staqu.com/	Seed	2015	Provides automation technologies such as visual search and recommendation, meta-tags generation, for e-commerce companies.	5	Gurgaon
571	19.1	4	0	4	571	19.1	Computer Vision	Stomatobot	https://stomatobot.com	Other	2015	Uses computer vision and ML to enhance video surveillance	No reviews yet	Pune
670	20.42	3	0	3	670	20.42	Chatbots	Tars	https://hellotars.com/	Other	2015	Provides conversational bots that can be used on Facebook and on business website, doesn't need any coding.		Bengaluru
559	20.3	4	0	4	559	20.3	Analytics	Turing Analytics	https://www.turingiq.com/	NA	2015	Provides customer review analytics and visual search products.	No reviews yet	Bengaluru
693	-16.5	34	3.5	34	693	-16.5	Chatbots	Active.ai	http://www.active.ai	Other	2016	Uses artificial intelligence (AI) to deliver conversational banking services.	5	Singapore, Bengaluru
688	-19.775	5	0.225	5	688	-19.775	E-Commerce / Retail	Corseco Technologies	http://corseco.in/	Seed	2016	Uses AI for visual search, video analytics for retail and web.		New Delhi
693	20	5	0	5	693	20	Computer Vision	Corseco.in	http://corseco.in	Seed	2016	Provides visual search, video analytics for retail and web sector.	No reviews yet	New Delhi
674	-19.8	10	1	10	674	-19.8	Computer Vision	Cureskin	http://cureskin.com	Other	2016	An AI dermatologist on your smartphone.	No reviews yet	Bengaluru
687	-19.962	3	0.038	3	687	-19.962	HealthTech	Elth.ai	http://elth.ai/	Seed	2016	Made by (HCFAB Health Technologies Pvt Ltd), this chat-based personal assistant answers medical/health-related queries.	No reviews yet	Bengaluru
683	19.6	4	0	4	683	19.6	HR Tech	Glider.ai	https://glider.ai/	NA	2016	Uses AI for personalised candidate outreach and ranking top talent.	No reviews yet	Fremont, California, Bengaluru
688	20.12	12	0	12	688	20.12	HealthTech	iNICU	http://inicucloud.com/	NA	2016	Uses IoT, artificial intelligence and predictive analytics in neonatal care.	No reviews yet	New Delhi
670	20.136	1	0	1	670	20.136	LegalTech	Lawbot.ai	http://www.lawbot.ai	NA	2016	Uses natural language processing to take the drudgery out of poring through legal contracts.	No reviews yet	Chennai
676	-19.85	7	0.15	7	676	-19.85	Marketing Tech	Marax	https://marax.ai/	Seed	2016	Uses proprietary deep learning to solve churn its customers. 		 Palo Alto, Bengaluru
688	-13.3	21	6.7	21	688	-13.3	Speech/Language Technologies	Mihup	http://www.mihup.com	Other	2016	Delivers human-like understanding of naturally spoken queries for large, complex content domains.	5	Bengaluru
681	-19.9	6	0.1	6	681	-19.9	Chatbots	Morph.ai	https://morph.ai/	NA	2016	Helps enterprises automate customer support, sell products, and generate leads over chat.	No reviews yet	Gurgaon
691	19.99	10	0	10	691	19.99	HealthTech	Predible Health	http://www.prediblehealth.com	NA	2016	Building AI-powered products for cancer radiologists.	No ratings yet	Bengaluru
688	19.256	14	0	14	688	19.256	HealthTech	Qure.ai	http://www.qure.ai	NA	2016	Aims to use deep learning to diagnose disease from radiology and pathology imaging, and create personalised cancer treatment plans.	No reviews yet	Mumbai
670	19.995	6	0	6	670	19.995	HR Tech	Skillate	http://skillate.com	NA	2016	Uses NLP and deep learning algorithms to parse and rank resumes based on relevance.	4	Bengaluru
692	20.145	10	0	10	692	20.145	E-Commerce / Retail	Thirdwatch	https://www.thirdwatch.ai/	NA	2016	Uses big data and AI for fraud prevention in e-commerce transactions.	No reviews yet	Gurgaon
693	-19	12	1	12	693	-19	EdTech	VideoKen		Seed	2016	A video-based social learning platform that uses big data analytics, machine learning and AI.	No ratings yet	Bengaluru
760	19.278	5	0	5	760	19.278	Analytics	Cyber Boxer	http://www.cyberboxer.com	Other	2017	Provides  cyber risk analytics solutions for insurers and reinsurers	No reviews yet	New Delhi
770	19.847	3	0	3	770	19.847	Speech/Language Technologies	Spext.co	http://spext.co	Other	2017	Provides a SaaS product that automatically transcribes video and audio content.	No reviews yet	 Bengaluru, San Francisco
